featureid	Intercept	HostSubject[T.B]	HostSubject[T.C]	HostSubject[T.D]	HostSubject[T.E]	HostSubject[T.F]	HostSubject[T.G]	HostSubject[T.H]	HostSubject[T.I]	HostSubject[T.J]	brushing_event[T.before]	HostSubject[T.B]:brushing_event[T.before]	HostSubject[T.C]:brushing_event[T.before]	HostSubject[T.D]:brushing_event[T.before]	HostSubject[T.E]:brushing_event[T.before]	HostSubject[T.F]:brushing_event[T.before]	HostSubject[T.G]:brushing_event[T.before]	HostSubject[T.H]:brushing_event[T.before]	HostSubject[T.I]:brushing_event[T.before]	HostSubject[T.J]:brushing_event[T.before]	final_volume_mL	final_tube_weight_g
80e2a0cdbbf0ae81a93b6ba374faeb14	1.8479101736963301	-4.37995710054945	-1.63881787679025	-3.2542993467833297	-3.0418883450329304	-2.99483390038035	-2.98532408028841	-3.3615577177277594	-2.95820069206612	-4.54442054965267	3.09101898036897	-2.89832440085177	-4.623738167434929	-4.4280800232929804	-3.56622811712857	-3.6835964726550197	-4.44618640254651	-3.59372654493366	-4.35390934850522	-3.49728273241116	-0.651354456549909	0.698926196144229
ce0a7bedfbc98dbf07eaffbb567102ef	0.506158657831007	-1.05809058825086	-5.56563681385347	-1.69800442872303	-2.2730349190533197	-1.11598606293223	-5.60601418763399	-5.3120247678032895	-4.62222576034921	-1.7976099941946	1.5312369521707299	-2.45850291914706	-1.62605315223336	-1.1130879530949198	-1.8002534762823201	-1.7409819172961398	-1.26116211126958	-1.5215183788112199	-2.15682313348599	-1.53709791986538	-0.421785736686018	0.503901228950625
a978026c6c33bccb8dd70bd2ddbf48bf	-2.55747102900142	1.9530590566008201	0.298575311686311	-0.26854438004749204	-1.7558375485241398	0.27836899573781704	-2.9060873344540603	-2.2208805040589397	-0.20007824791329198	-0.33785171248684004	-0.37830894626677	-0.121729046771569	1.08846229538321	0.19535797738603197	-0.137420262476163	0.852661748017583	0.9978729992040559	1.00060638849224	1.1533119926278999	-0.260920513554344	-1.18593431473377	0.7114289856416041
ab7dc8433c13bb94829daf2872d9d195	-3.6134707848608	-1.4265836683900202	-3.3927976789219	-6.00691175875919	-3.5218708403408505	-2.43980450813792	-7.053251083195209	-5.75857016007815	-6.137720136770179	0.643126299598121	3.2779942210763697	-5.31063965029482	-1.63480359092355	-4.31071788168379	-5.558417029013589	-3.29542742243835	-1.72853238295232	-1.83964171941791	-2.0790700664693897	-5.406007696076161	-3.50645133317116	1.89985396032155
15869fbb559d7a31992e2034442b5099	-4.52873062296504	-4.65631999651502	-4.95481523892709	-6.094689373352701	-6.941239226609469	-4.44680119936487	-4.70716052800417	-4.2803052620164	-8.61520576370614	-5.727631160996059	4.742153113707901	-4.533479601810019	-4.64122891202569	-3.9658375392002703	-3.1222477809393	-4.73341999522277	-4.0843801588884405	-3.98325541551624	-4.26383397485562	-2.4488901981551696	-1.05066137970093	1.5137937894922502
b36ed4cdf7c0f387ac70951a11bddd29	-0.115855358082003	-3.6652407852799795	-1.14222964665719	-3.3347830217863796	-2.54424296692014	-3.31862814610026	-3.42080848962069	-2.43467139761363	-2.7818138588752097	-2.10676593520413	2.85096198879182	-2.83307376570467	-3.4647708512842703	-3.5702753672642404	-3.5702284232580204	-2.75197873583862	-2.80258686255131	-3.0983478122523795	-2.9763326397115804	-3.57112823812557	-1.0231380856096999	0.847502813385134
a7f92909575fd948fad074b72093771e	0.7546421368539872	2.9055675061552697	-1.31235584637948	3.3823645669434796	-0.8162258751690391	-1.52383513634226	-1.40935128480196	3.92978811700429	3.06873345481498	-1.18708533980618	-1.12277811206877	0.8004501753353649	1.14101499542594	0.8838474144893042	0.293839846471591	1.27050270565918	1.1348668842443401	0.464548439426082	0.869647766095919	1.2520775905411201	0.00840011774894922	-0.0988345884817785
d21053daf32f3e2c9be9c6768d6ade32	-2.83305262728328	-6.76216330210279	-7.59399518391916	-6.947034705856019	-3.73793088272214	-3.0112472314121494	-6.2724856689572315	-4.98170500557337	-5.17027479303735	-7.4611883852697405	5.34561819396913	-5.0014990872836504	-4.69962793365121	-1.65657788610884	-4.30152162470456	-4.85589871874877	-1.9525321216455502	-4.64510700042759	-5.446075005591509	-4.3180168756683	-1.12796490848663	1.21853660111249
c84509b5d38955838482e9d6a4770bfe	-2.5013520638525	3.1836923154203998	-3.1780167522175002	-0.0899226110960756	-0.597413886338472	-0.634110166478369	-2.29155820161104	-2.67140388052378	-1.1021440018500601	-2.9627360794759796	2.58028227649629	-2.28317943281893	-1.68825799003243	1.14807194375566	-1.46475323595639	-1.2885106610400299	-0.300314733492477	-1.19688668783222	0.21378400419406302	-0.911510456486472	-0.0320334082901743	0.29458431963742304
9049e702d18015c0f3159c054521811b	-0.24470341159696	0.41217789967943497	-2.7866986694080498	0.374928768298456	-1.8255797512829302	0.568732307505395	0.994414393603802	-0.0397257761231486	-1.99258971107858	-0.5106751415945061	-0.779235059395432	1.75990804963346	1.27256483063102	1.31123512887529	-0.0131846324407627	-1.51753936282226	0.621085336697953	-1.37313333089863	0.729570175153536	-0.494218815251121	0.298512374752733	0.0292990661126429
927381a65ddaa2800255c9186c9b1aaa	0.331635185045057	-5.07252707163404	-2.23680147549936	-4.877777640202219	-4.66243885830045	-8.226156665730691	-4.593465740978719	-4.18031429808055	-3.8563706864203704	-4.97812885977993	4.17200798355043	-4.55683365530734	-4.6756947018206105	-5.77433763540217	-4.12572297014828	-3.5203121708972103	-3.3216824025980096	-4.19377174909626	-3.99605522062131	-6.1180188545425	-1.06112195015552	0.9621176279050171
1275c8657f3502d2f3d7b0d9ec7e1c78	0.00230143265133459	-1.3741551844270101	-2.26738438031503	-4.17376107392567	-3.69936488941312	-2.57394762222788	-4.941872532665731	-4.818951661991219	-3.8341233719672503	-3.8549046013570805	5.88592006824911	-4.14804044432406	-4.41528886333108	-3.6373109231037795	-3.60864099421139	-4.88316838017532	-3.7609188051095996	-3.98052146966968	-2.8490569343740497	-5.48630422367049	-0.495812857753065	0.535606131599551
a67613d18109ca8bda841018545cb1d7	-3.02364038630123	-6.46591486612867	-4.7329384984714595	-5.81327212271946	-3.7941588051617097	-3.48181553070566	-5.850394389778381	-3.3484277681580603	-3.40963530434029	-4.42747015692959	4.864486163482071	-5.0891533202624695	-3.5224652864038903	-4.6147055039448395	-4.91708865322705	-5.21153835526535	-4.52859125445996	-4.05778255994831	-5.6088148703748795	-3.9238633999068795	-1.46208683610561	1.39228544075907
2a2f3f401b002d68e17c880024e07b27	0.5799345453203261	2.48846278508593	0.422223001505647	0.9788759309266301	0.36779321357607797	2.67753128821829	0.5058885261416439	1.10032701928701	-0.183826683887413	-0.7666551563955308	-0.22016971744597	0.10389742188687802	0.5740765951573851	1.24882811212114	0.32899418912295797	-0.10414205065795401	0.20654790688838298	-0.0253922038844649	-0.252711509721952	1.10541297109531	0.5133574360549179	-0.22352071042239102
